"path"	"group"	"extension"	"bytes"	"loc"	"nonblank"
".agents/skills/planning/SKILL.md"	"other"	".md"	"9764"	"186"	"137"
".cargo/config.toml"	"configuration"	".toml"	"1870"	"24"	"24"
".editorconfig"	"other"	""	"131"	"8"	"6"
".gitattributes"	"other"	""	"460"	"12"	"10"
".github/CODEOWNERS"	"other"	""	"550"	"10"	"10"
".github/copilot-instructions.md"	"other"	".md"	"220"	"6"	"5"
".github/instructions/mermaid.instructions.md"	"other"	".md"	"4165"	"85"	"67"
".github/workflows/ci.yml"	"configuration"	".yml"	"15164"	"283"	"238"
".github/workflows/drift-alarm.yml"	"configuration"	".yml"	"1837"	"37"	"34"
".github/workflows/oss-gate.yml"	"configuration"	".yml"	"5264"	"103"	"88"
".github/workflows/release.yml"	"configuration"	".yml"	"6912"	"144"	"125"
".github/workflows/sync-oss.yml"	"configuration"	".yml"	"3680"	"84"	"77"
".gitignore"	"other"	""	"3586"	"95"	"79"
".pnpm-store/v11/index.db"	"other"	".db"	"8192"	""	""
".prettierignore"	"other"	""	"493"	"12"	"10"
".prettierrc.json"	"configuration"	".json"	"141"	"7"	"7"
".vscode/extensions.json"	"configuration"	".json"	"109"	"7"	"7"
".worklog-baseline.json"	"configuration"	".json"	"10812"	"363"	"363"
".worklog/manifest.json"	"configuration"	".json"	"814"	"16"	"16"
".worklog/templates/closeout.md"	"other"	".md"	"1659"	"33"	"27"
".worklog/templates/event.md"	"other"	".md"	"718"	"13"	"11"
".worklog/templates/findings.md"	"other"	".md"	"868"	"23"	"18"
".worklog/templates/progress.md"	"other"	".md"	"951"	"26"	"21"
".worklog/templates/task_plan.md"	"other"	".md"	"722"	"35"	"27"
".worklogrc.jsonc"	"configuration"	".jsonc"	"4509"	"77"	"69"
".zcode/plans/plan-sess_a42b2596-6180-4fdc-a6e5-f3dcc6b37672.md"	"other"	".md"	"1140"	"9"	"5"
"ADDITIONAL-PERMISSION.md"	"other"	".md"	"1709"	"11"	"6"
"AGENTS.md"	"other"	".md"	"3401"	"40"	"29"
"CHANGELOG.md"	"other"	".md"	"2585"	"29"	"21"
"CLA.md"	"other"	".md"	"4635"	"28"	"17"
"COMMERCIAL.md"	"other"	".md"	"8656"	"129"	"92"
"CONTRIBUTING.md"	"other"	".md"	"3273"	"28"	"16"
"Cargo.lock"	"other"	".lock"	"200879"	"8323"	"7545"
"Cargo.toml"	"configuration"	".toml"	"5721"	"111"	"107"
"LICENSE"	"other"	""	"34523"	"661"	"544"
"NOTICE.md"	"other"	".md"	"57423"	"740"	"717"
"README.md"	"other"	".md"	"7770"	"117"	"81"
"README.zh-CN.md"	"other"	".md"	"6647"	"117"	"81"
"SOURCE.md"	"other"	".md"	"2328"	"45"	"35"
"TRADEMARK.md"	"other"	".md"	"1620"	"27"	"17"
"copy.bara.sky"	"build_and_startup"	".sky"	"768"	"10"	"10"
"crates/exotic-protocol/Cargo.lock"	"other"	".lock"	"3172"	"128"	"114"
"crates/exotic-protocol/Cargo.toml"	"configuration"	".toml"	"962"	"23"	"20"
