# old<TAB>new;两个真 08-14 创建的目录不列(保持不变):完成可收口任务核实与回写、过度工程化审查
2026-08-14-全仓深度review与直修	2026-07-23-全仓深度review与直修
2026-08-14-全仓深度review	2026-07-24-全仓深度review
2026-08-14-AI语义搜索栏UI优化	2026-08-04-AI语义搜索栏UI优化
2026-08-14-RAW等格式照片支持	2026-07-24-RAW等格式照片支持
2026-08-14-Spec15深化-各功能详细工作流	2026-08-07-Spec15深化-各功能详细工作流
2026-08-14-UI加载失败排查	2026-08-03-UI加载失败排查
2026-08-14-canvas设置项生效检查与修复	2026-08-03-canvas设置项生效检查与修复
2026-08-14-md阅读器巨型文档内存爆炸修复	2026-07-17-md阅读器巨型文档内存爆炸修复
2026-08-14-minimap审查与渲染模式设置	2026-07-19-minimap审查与渲染模式设置
2026-08-14-span埋点与worker日志汇入	2026-07-21-span埋点与worker日志汇入
2026-08-14-上线前三功能方案-导出-备份-图片编辑	2026-07-17-上线前三功能方案-导出-备份-图片编辑
2026-08-14-两日代码修改审查	2026-07-18-两日代码修改审查
2026-08-14-全仓未完成工作梳理	2026-07-24-全仓未完成工作梳理
2026-08-14-全仓注释清理精简	2026-07-25-全仓注释清理精简
2026-08-14-前端动画重构	2026-07-22-前端动画重构
2026-08-14-后端大文件拆分审查	2026-07-16-后端大文件拆分审查
2026-08-14-图片简单编辑施工	2026-07-19-图片简单编辑施工
2026-08-14-图片编辑开源包混合升级施工	2026-07-19-图片编辑开源包混合升级施工
2026-08-14-大图浏览器无闪切图与错误态修复	2026-07-23-大图浏览器无闪切图与错误态修复
2026-08-14-审查9项修复分批施工	2026-07-18-审查9项修复分批施工
2026-08-14-审查应用配置重构	2026-07-23-审查应用配置重构
2026-08-14-导出整理成果施工	2026-07-19-导出整理成果施工
2026-08-14-应用配置重构-外置配置文件与热应用	2026-07-22-应用配置重构-外置配置文件与热应用
2026-08-14-底栏重构-内容页动态文件信息	2026-07-17-底栏重构-内容页动态文件信息
2026-08-14-数据备份与恢复施工	2026-07-19-数据备份与恢复施工
2026-08-14-文件树与顶栏格式筛选方案	2026-07-16-文件树与顶栏格式筛选方案
2026-08-14-施工规格集	2026-07-24-施工规格集
2026-08-14-无人值守清账波	2026-07-21-无人值守清账波
2026-08-14-日志能力重构	2026-07-20-日志能力重构
2026-08-14-最近一周代码实现深度Review	2026-07-25-最近一周代码实现深度Review
2026-08-14-未完成工作梳理与free社区版最短路径	2026-07-17-未完成工作梳理与free社区版最短路径
2026-08-14-树内文件行打开与拖拽	2026-07-17-树内文件行打开与拖拽
2026-08-14-根文件夹显隐	2026-07-18-根文件夹显隐
2026-08-14-画廊大图首次打开慢与闪烁修复	2026-08-03-画廊大图首次打开慢与闪烁修复
2026-08-14-画廊无缝minimap轴	2026-07-17-画廊无缝minimap轴
2026-08-14-画廊轴minimap解耦与按钮迁底栏	2026-07-24-画廊轴minimap解耦与按钮迁底栏
2026-08-14-画廊重排滚动位置恢复	2026-07-17-画廊重排滚动位置恢复
2026-08-14-窗口化沉浸模式-非全屏自动隐藏顶栏底栏	2026-07-23-窗口化沉浸模式-非全屏自动隐藏顶栏底栏
2026-08-14-缩略图进度刷新丢失与视频派生独立控制	2026-07-18-缩略图进度刷新丢失与视频派生独立控制
2026-08-14-视频封面关键帧提取性能审查	2026-07-17-视频封面关键帧提取性能审查
2026-08-14-视频格式扩展子系统	2026-07-24-视频格式扩展子系统
2026-08-14-阅读器页UI优化	2026-07-17-阅读器页UI优化
